,name,list_categories
179,AIRBORNE,"['Swimwear', 'Accessories', 'Outerwear', 'Umbrellas', 'Activewear', 'Swimwear', 'Accessories', 'Traditional Clothing', 'Accessories']"
180,LOLOYUM,['Household/Premises']
181,PROBAR,['Food And Drinks']
182,ALVARADO ST BAKERY PRODUCTION FACILITY,['Food And Drinks']
183,"BLISS UNLIMITED, LLC","['Wallets', 'Handbags', 'Handbags', 'Shoes', 'Accessories', 'Tops And Sweaters', 'Outerwear', 'Accessories', 'Traditional Clothing', 'Shirts And Blouses', 'Pants And Shorts', 'Hats', 'Jewelry', 'Accessories', 'Wallets']"
184,EARTH MAMA¬¨√U ORGANICS,"['Food And Drinks', 'Beverage', 'Drinks']"
185,PURITY ORGANICS,['Fruits And Vegetables']
186,CRISPY GREEN,"['Wallets', 'Handbags', 'Handbags', 'Shoes', 'Swimwear', 'Skirts', 'Accessories', 'One-Piece', 'Sleepwear And Loungewear', 'Tops And Sweaters', 'Outerwear', 'Activewear', 'Swimwear', 'Suits And Uniforms', 'Accessories', 'Traditional Clothing', 'Shirts And Blouses', 'Pants And Shorts', 'Underwear And Lingerie', 'Hats', 'Jewelry', 'Accessories', 'Wallets', 'Gloves', 'Scarves', 'Sunglasses', 'Belts', 'Dresses']"
187,BETTEROATS,"['Swimwear', 'Sleepwear And Loungewear', 'Tops And Sweaters', 'Outerwear', 'Swimwear', 'Suits And Uniforms', 'Pants And Shorts', 'Dresses']"
188,ENZYMATIC THERAPY,"['Sleepwear And Loungewear', 'Underwear And Lingerie']"
189,PURE PLANET INC,"['Pants And Shorts', 'Apparel']"
190,UNSPUN,['Food And Drinks']
191,SANTA BARBARA OLIVE CO,"['Wallets', 'Accessories', 'Outerwear', 'Umbrellas', 'Accessories', 'Watches', 'Traditional Clothing', 'Jewelry', 'Accessories', 'Wallets', 'Watches', 'Belts']"
192,SUPERNOLA,['Vitamins and supplements']
193,ALTA HEALTH PRODUCTS,"['Handbags', 'Handbags', 'Shoes', 'Accessories', 'Outerwear', 'Activewear', 'Suits And Uniforms', 'Accessories', 'Shirts And Blouses', 'Pants And Shorts', 'Hats', 'Jewelry', 'Accessories', 'Scarves', 'Belts']"
194,SUGAR IN THE RAW,['Vitamins and supplements']
195,INNATE,"['Shoes', 'Tops And Sweaters', 'Traditional Clothing', 'Dresses']"
196,PAROMI TEA,"['Breakfast Foods', 'Quinoa', 'Cocoa powder', 'Jam', 'allegra', 'Vegetable and mushroom canned', 'Seeds', 'Millet', 'Herbs spices.', 'Almond', 'Fruits And Vegetables', 'Canned and baked food', 'Milk alternatives', 'Pasta', 'Hazelnut', 'Grain products and nuts', 'Snacks, Chips and Crackers', 'Flour', 'Sweeteners and sugar substitutes']"
197,MELISSA OBADASH,"['Handbags', 'Handbags', 'Shoes', 'Swimwear', 'Skirts', 'One-Piece', 'Sleepwear And Loungewear', 'Tops And Sweaters', 'Outerwear', 'Swimwear', 'Suits And Uniforms', 'Traditional Clothing', 'Shirts And Blouses', 'Pants And Shorts', 'Underwear And Lingerie', 'Hats', 'Jewelry', 'Scarves', 'Sunglasses', 'Dresses']"
198,SIMPLY GUM,['Vitamins and supplements']
199,SLIMFAST,['Food And Drinks']
200,MEDITERRANEAN ORGANIC,['Shoes']
201,ARTISANA ORGANICS,['Food And Drinks']
202,SUNWEST FOODS,"['Tops And Sweaters', 'Apparel']"
203,GREENSTITCH FASHION,['Vitamins and supplements']
204,PajamaGram,"['Handbags', 'Handbags', 'Shoes', 'Accessories', 'Accessories', 'Accessories', 'Gloves']"
205,"MANISCHEWITZ COMPANY, THE","['Herbs spices.', 'Vitamins and supplements']"
206,NEW CHAPTER,"['Swimwear', 'Outerwear', 'Umbrellas', 'Swimwear', 'Suits And Uniforms', 'Traditional Clothing', 'Hats']"
207,ZINT,"['Apparel', 'Shirts And Blouses', 'Shirts', 'Polo shirts', 'T-shirts']"
208,JOVIAL,"['Cake', 'Food And Drinks', 'Baked Food']"
209,CLEAN FOODS INC,['Vitamins and supplements']
210,ETICA,['Food And Drinks']
211,SANTINI,"['Apparel', 'Activewear', 'Underwear And Lingerie', 'Shirts']"
212,PLANTFUSION,"['Beverage', 'Food And Drinks', 'Drinks']"
213,SUPER NUTRITION,"['Arabica coffee', 'Coffee']"
214,BARRINGTON COFFEE ROASTING,"['Confectionery', 'Soups', 'Sweeteners and sugar substitutes']"
215,HEAVENLY ORGANICS,"['Watches', 'Jewelry', 'Watches']"
216,BREW LA LA TEA,"['Wallets', 'Handbags', 'Handbags', 'Shoes', 'Swimwear', 'Accessories', 'One-Piece', 'Tops And Sweaters', 'Outerwear', 'Umbrellas', 'Activewear', 'Swimwear', 'Suits And Uniforms', 'Accessories', 'Traditional Clothing', 'Shirts And Blouses', 'Pants And Shorts', 'Underwear And Lingerie', 'Hats', 'Jewelry', 'Accessories', 'Wallets', 'Gloves', 'Scarves', 'Sunglasses', 'Belts']"
217,"SWEET EARTH, INC DBA SWEET EARTH NATURAL FOODS",['Suits And Uniforms']
218,NATURE´S ALL FOODS,['Shoes']
219,HOLO FOOTWEAR,['Breakfast Foods']
220,"VIVA TIERRA ORGANIC, INC","['Accessories', 'Accessories', 'Jewelry', 'Accessories', 'Dresses']"
221,CYTOSPORT,"['Tea', 'Food And Drinks', 'Coffee']"
222,ANCIENT AGRO,"['Toothpaste', 'Oral Care']"
223,ESSENTIAL OXYGEN,['Food And Drinks']
224,NORDIC NATURALS,"['Accessories', 'Accessories', 'Traditional Clothing', 'Hats', 'Accessories']"
225,NATURIGIN,['Underwear And Lingerie']
226,LIFE-FLO,"['Tops And Sweaters', 'Coats and Jackets', 'Apparel', 'Dresses', 'Shirts']"
227,AMALYA MEIRA,"['Water', 'Oil']"
228,PURA D'OR,['Food And Drinks']
229,HARVEST & MILL,['Vitamins and supplements']
230,KROEGER HERB,['Textiles']
231,CENTRAL GRAZING COMPANY,['Herbs spices.']
232,ALLIMAX,"['Wallets', 'Handbags', 'Handbags', 'Shoes', 'Swimwear', 'Skirts', 'Accessories', 'One-Piece', 'Sleepwear And Loungewear', 'Tops And Sweaters', 'Outerwear', 'Umbrellas', 'Activewear', 'Swimwear', 'Suits And Uniforms', 'Accessories', 'Traditional Clothing', 'Shirts And Blouses', 'Pants And Shorts', 'Underwear And Lingerie', 'Hats', 'Jewelry', 'Accessories', 'Wallets', 'Gloves', 'Scarves', 'Sunglasses', 'Belts', 'Dresses']"
233,SKY VALLEY FOODS,"['Suits And Uniforms', 'Shirts And Blouses', 'Pants And Shorts']"
234,WHOLE E NATURE,"['Fruits And Vegetables', 'Vegetable and mushroom canned']"
235,WESTBRAE NATURAL,['Food And Drinks']
236,BUSH BROTHERS & COMPANY,"['Snacks, Chips and Crackers']"
237,WILD MADE,['Food And Drinks']
238,WHOLLY WHOLESOME A DIV OF RUN-A-TON GROUP,['Food And Drinks']
239,SUNBUTTER LLC,"['Beverage', 'Food And Drinks']"
240,BIOTTA JUICES,['Home & Interiors']
241,MRS MEYER'S,"['Mask', 'Moisturiser', 'Facial toner', 'Hair coloration', 'Shower gel', 'Skin Care', 'Face cleanser', 'Hair Conditioner', 'Shaving', 'Exfoliator', 'Other hair care', 'Antiperspirant & deodorants', 'Makeup removers', 'Sunscreen']"
242,ANDALOU NATURALS,['Oil']
243,INTERNATIONAL COLLECTION,"['Wallets', 'Handbags', 'Handbags', 'Shoes', 'Accessories', 'Accessories', 'Jewelry', 'Accessories', 'Wallets', 'Belts']"
244,BOULDER CANYON,"['Cosmetics', 'Shampoo']"
245,BABYLABS,['Hats']
246,KETO ZONE,"['Handbags', 'Handbags', 'Shoes', 'Skirts', 'Tops And Sweaters', 'Outerwear', 'Suits And Uniforms', 'Traditional Clothing', 'Shirts And Blouses', 'Pants And Shorts', 'Underwear And Lingerie', 'Jewelry', 'Scarves', 'Dresses']"
247,BAILEY 44,"['Rice', 'Pasta', 'Flour', 'Canned and baked food']"
248,MIRACLE NOODLE,['Black tea']
249,TWO LEAVES AND A BUD,"['Jam', 'Condiments and Sauces']"
250,GREEN & BLACK'S,['Food And Drinks']
251,NOOUR INC,"['Tops And Sweaters', 'Outerwear', 'Suits And Uniforms', 'Pants And Shorts', 'Dresses']"
252,NUUN,"['Suits And Uniforms', 'Shirts And Blouses', 'Pants And Shorts']"
253,UPLIFT DESK,['Underwear And Lingerie']
254,DANDIES,['Herbs spices.']
255,HIMALASALT,"['Tea', 'Coffee', 'Food And Drinks']"
256,RUNAMOK MAPLE LLC,"['Wallets', 'Shoes', 'Accessories', 'Umbrellas', 'Accessories', 'Traditional Clothing', 'Hats', 'Jewelry', 'Accessories', 'Wallets']"
257,SEASNAX INC,['Other drinks']
258,BARSMITH,['Home & Interiors']
259,WELLNESS,"['Jam', 'Oil']"
260,BONO,"['Beverage', 'Food And Drinks']"
261,"LODC GROUP, LTD DBA LILY OF THE DESERT NUTRACEUTICALS","['Handbags', 'Handbags', 'Shoes', 'Skirts', 'Accessories', 'Outerwear', 'Suits And Uniforms', 'Accessories', 'Shirts And Blouses', 'Pants And Shorts', 'Jewelry', 'Accessories', 'Apparel']"
262,"PRINCE OF PEACE ENTERPRISES, INC","['Soups', 'Lip & eyeliner', 'Vitamins and supplements']"
263,WEDDERSPOON,"['Swimwear', 'Accessories', 'Activewear', 'Swimwear', 'Accessories', 'Accessories']"
264,TWININGS,['Sunscreen']
265,RISHI TEA,"['Herbs spices.', 'Moisturiser']"
266,EIDON IONIC MINERALS,"['Accessories', 'Accessories', 'Watches', 'Hats', 'Jewelry', 'Accessories', 'Watches', 'Sunglasses']"
267,SHEILA G'S,"['Swimwear', 'Accessories', 'Sleepwear And Loungewear', 'Tops And Sweaters', 'Outerwear', 'Swimwear', 'Suits And Uniforms', 'Accessories', 'Traditional Clothing', 'Accessories', 'Dresses']"
268,WANDERING BEAR,"['Coffee', 'Food And Drinks']"
269,REPURPOSE,"['Shoes', 'Skirts', 'Tops And Sweaters', 'Shirts And Blouses', 'Pants And Shorts', 'Dresses']"
270,GUSTUS VITAE,"['Wallets', 'Handbags', 'Handbags', 'Shoes', 'Accessories', 'Accessories', 'Watches', 'Jewelry', 'Accessories', 'Wallets', 'Watches', 'Sunglasses']"
271,EVERLANE,"['Food And Drinks', 'Tea']"
272,GOOD EARTH FARMS LLC,"['Shoes', 'Skirts', 'Tops And Sweaters', 'Suits And Uniforms', 'Traditional Clothing', 'Shirts And Blouses', 'Pants And Shorts', 'Dresses']"
273,NABISCO,"['Swimwear', 'Outerwear', 'Umbrellas', 'Swimwear', 'Suits And Uniforms', 'Traditional Clothing']"
274,WASA,"['Textiles', 'Pima cotton']"
275,DROPEL,['Food And Drinks']
276,"AMY'S KITCHEN, INC",['Fruits And Vegetables']
277,THE JACKFRUIT COMPANY,['Vitamins and supplements']
278,ALEXANDER VALLEY GOURMET DBA SONOMA BRINERY,['Food And Drinks']
279,ST CLAIRE'S ORGANICS,"['Activewear', 'Various sports outfit', 'Outerwear', 'Apparel', 'Pants And Shorts', 'Tops And Sweaters']"
280,Patagonia Works,['Grain products and nuts']
281,MARANATHA,['Home & Interiors']
282,THE CITIZENRY,"['Skirts', 'Tops And Sweaters', 'Outerwear', 'Suits And Uniforms', 'Traditional Clothing', 'Shirts And Blouses', 'Pants And Shorts', 'Dresses']"
283,HONEYBEE GARDENS,['Food And Drinks']
284,WOODSTOCK FARMS,"['Suits And Uniforms', 'Traditional Clothing']"
285,POPCHIPS,"['Shoes', 'Tops And Sweaters', 'Outerwear', 'Traditional Clothing', 'Shirts And Blouses', 'Pants And Shorts']"
286,SUZIE'S,"['Other infusion', 'White tea']"
287,BETTER CAROB,"['Pasta', 'Canned and baked food']"
288,HAKUBAKU,"['Handbags', 'Handbags', 'Accessories', 'Accessories', 'Traditional Clothing', 'Underwear And Lingerie', 'Hats', 'Jewelry', 'Accessories']"
289,GH CRETORS,"['Apparel', 'Tops And Sweaters']"
290,NATURAL SOURCES,"['Watches', 'Jewelry', 'Watches']"
291,PHILOSOFEE BY GLAUCIA STANGANELLI,"['Swimwear', 'Accessories', 'Outerwear', 'Umbrellas', 'Activewear', 'Swimwear', 'Accessories', 'Traditional Clothing', 'Underwear And Lingerie', 'Accessories']"
292,HOME FREE,"['Vegetable and mushroom canned', 'Condiments and Sauces']"
293,APPALACHIAN NATURALS,"['Snacks, Chips and Crackers']"
294,SESMARK FOODS,"['Accessories', 'Suits And Uniforms', 'Accessories', 'Traditional Clothing', 'Underwear And Lingerie', 'Accessories']"
295,POPCORNERS,"['Soups', 'Other drinks', 'Nectar and juices', 'Vitamins and supplements', 'Fruits And Vegetables', 'Sweeteners and sugar substitutes', 'Tea', 'Canned and baked food', 'Vegetable and mushroom canned', 'Cocoa powder', 'Herbs spices.', 'Other infusion']"
296,BROTHER BRU-BRU´S,['Vitamins and supplements']
297,STEELCASE,['Outerwear']
298,DOGGY DELIRIOUS,['Moisturiser']
299,COCOROO,['Vitamins and supplements']
300,SUNSWEET NATURALS,"['Arabica coffee', 'White tea', 'Tea', 'allegra', 'Coffee', 'Robusta coffee', 'Green tea', 'Flavored tea']"
301,TYPHOO TEA LIMITED,['Household/Premises']
302,ALLERGY RESEARCH GROUP,['Confectionery']
303,LIVING HARVEST,['Pasta']
304,"MIZKAN AMERICA, INC",['Vitamins and supplements']
305,CLEARTRACT,"['Wallets', 'Handbags', 'Handbags', 'Shoes', 'Swimwear', 'Skirts', 'Accessories', 'Tops And Sweaters', 'Outerwear', 'Umbrellas', 'Activewear', 'Swimwear', 'Suits And Uniforms', 'Accessories', 'Traditional Clothing', 'Shirts And Blouses', 'Pants And Shorts', 'Underwear And Lingerie', 'Jewelry', 'Accessories', 'Wallets', 'Scarves', 'Sunglasses', 'Belts']"
306,HONEY GARDENS,"['Pants And Shorts', 'Apparel']"
307,TRIARCHY,['Hair Conditioner']
308,EMERALD FOREST,['Food And Drinks']
309,"BRANON SHADY MAPLES, INC","['Beverage', 'Food And Drinks']"
310,"JAVA TRADING COMPANY, LLC DBA DISTANT LANDS","['Handbags', 'Handbags', 'Shoes', 'Accessories', 'Accessories', 'Accessories', 'Gloves']"
311,EVOLUTION SALT CO,"['Sleepwear And Loungewear', 'Activewear', 'Suits And Uniforms', 'Shirts And Blouses', 'Pants And Shorts', 'Underwear And Lingerie']"
312,SOUL NATURALIZER,"['Antiperspirant & deodorants', 'Herbs spices.', 'Vitamins and supplements']"
313,NUTRIBIOTIC,"['Apparel', 'Nightgowns and sleepshirts', 'Dresses', 'Coats and Jackets']"
314,EMILIA GEORGE,['Belts']
315,KNICKEY,"['Accessories', 'Accessories', 'Accessories']"
316,ANGIE'S,"['Grain products and nuts', 'Vitamins and supplements']"
317,SIMPLY 7 SNACKS,['Confectionery']
318,MACY'S,"['Watches', 'Jewelry', 'Watches']"
319,PARISSA,['Vitamins and supplements']
320,FLAPJACKED,['Vitamins and supplements']
321,MIGHTY LEAF,['Food And Drinks']
322,WAN JA SHAN,"['Flour', 'Baking', 'Canned and baked food', 'Snacks, Chips and Crackers', 'Breakfast Foods']"
323,PAMELA'S PRODUCTS,['Outerwear']
324,MINSLEY,"['Shirts', 'T-shirts', 'Polo shirts', 'Undershirts']"
325,BAOBAB,"['Underwear And Lingerie', 'Apparel']"
326,WAMA,"['Vitamins and supplements', 'Beverage', 'Energy and coffee drinks']"
327,"FLORA, INC",['Food And Drinks']
328,"SAN DIEGO FARMS, LLC DBA FRESH ORIGINS","['White tea', 'Tea', 'Green tea', 'Coffee']"
329,WELLEMENTS,"['Eggs and Dairy Products.', 'Food And Drinks']"
330,VEGGIE WASH,"['Wallets', 'Handbags', 'Handbags', 'Shoes', 'Accessories', 'Accessories', 'Hats', 'Jewelry', 'Accessories', 'Wallets', 'Sunglasses', 'Belts']"
331,KAGED MUSCLE,"['Food And Drinks', 'Apparel', 'Cosmetics']"
332,"ROTISYSTEMS, INC DBA ROLI ROTI","['Condiments and Sauces', 'Snacks, Chips and Crackers']"
333,"SMART JUICES, LLC",['Food And Drinks']
334,SELINA NATURALLY CELTIC OCEAN INTERNATIONAL DBA SELINA NATURALLY,"['Shoes', 'Accessories', 'Accessories', 'Shirts And Blouses', 'Pants And Shorts', 'Accessories']"
335,KLAUBER BROTHERS,"['Herbs spices.', 'Condiments and Sauces', 'Canned and baked food']"
336,PURE INDIAN FOODS,"['Watches', 'Jewelry', 'Watches']"
337,HERBAL CUP TEA,"['Shoes', 'Accessories', 'Outerwear', 'Umbrellas', 'Accessories', 'Traditional Clothing', 'Hats', 'Jewelry', 'Accessories', 'Sunglasses']"
338,ARTISAN TROPIC,"['Sleepwear And Loungewear', 'Underwear And Lingerie']"
339,NATURE'S BAKERY,"['Textiles', 'Pima cotton']"
340,OLIMPIAS TESSUTI PORDENONE,['Food And Drinks']
341,FREED FOODS INC,"['Food And Drinks', 'Tea']"
342,123 FARM,"['Tops And Sweaters', 'Traditional Clothing', 'Shirts And Blouses', 'Pants And Shorts', 'Dresses']"
343,PUREQUOSA,"['Herbs spices.', 'Nectar and juices', 'Condiments and Sauces', 'Fruits And Vegetables', 'Vitamins and supplements']"
344,DYNAMIC HEALTH,"['Handbags', 'Handbags', 'Accessories', 'Accessories', 'Traditional Clothing', 'Underwear And Lingerie', 'Hats', 'Jewelry', 'Accessories']"
345,QUALITY ASSURANCE,['Shoes']
346,FAKE MEATS,"['Watches', 'Jewelry', 'Watches']"
347,BEECH-NUT,['Food And Drinks']
348,"BARLEAN'S ORGANIC OILS, LLC","['Outerwear', 'Suits And Uniforms', 'Pants And Shorts', 'Dresses']"
349,NATIVE USA,['Condiments and Sauces']
350,HAK'S,"['Tops And Sweaters', 'Outerwear', 'Suits And Uniforms', 'Pants And Shorts', 'Dresses']"
351,MELIE BIANCO,"['Shoes', 'Accessories', 'Outerwear', 'Suits And Uniforms', 'Accessories', 'Shirts And Blouses', 'Pants And Shorts', 'Hats', 'Jewelry', 'Accessories']"
352,UNCLE MATT'S ORGANIC,['Food And Drinks']
353,NICHOLS PISTACHIO,['Food And Drinks']
354,BIO NUTRITION,"['Wallets', 'Handbags', 'Handbags', 'Swimwear', 'Skirts', 'Accessories', 'Sleepwear And Loungewear', 'Tops And Sweaters', 'Umbrellas', 'Activewear', 'Swimwear', 'Suits And Uniforms', 'Accessories', 'Watches', 'Traditional Clothing', 'Shirts And Blouses', 'Pants And Shorts', 'Underwear And Lingerie', 'Hats', 'Jewelry', 'Accessories', 'Wallets', 'Gloves', 'Scarves', 'Watches', 'Sunglasses', 'Belts', 'Dresses']"
355,YS ECO BEE FARMS,"['Jam', 'Vitamins and supplements', 'Food And Drinks', 'Syrup']"
356,NORM'S FARMS,"['Hair coloration', 'Hair Conditioner']"
357,LOVE BEAUTY AND PLANET,"['Confectionery', 'Dark chocolate', 'Herbs spices.', 'Jam', 'Cocoa powder', 'Almond', 'Seeds', 'Fruits And Vegetables', 'Milk alternatives', 'Hazelnut', 'Grain products and nuts']"
358,WINDY CITY ORGANICS,"['Cosmetics', 'Toothpaste']"
359,DR BRITE,['Breakfast Foods']
360,GF HARVEST,['Food And Drinks']
361,"ORGANIC MILLING, INC","['Watches', 'Jewelry', 'Watches']"
362,"GARDEN OF LIGHT, INC DBA BAKERY ON MAIN",['Oral Care']
363,ORALGEN,"['Soups', 'Canned and baked food', 'Breakfast Foods', 'Snacks, Chips and Crackers']"
364,LUKE'S ORGANIC,"['Drinks', 'Tea', 'Coffee', 'Food And Drinks']"
